feature,coefficient
silique_20,1.753070935444117
stem_9,1.5562838881611212
seedling_9d_18,-1.2941356984350987
rosette_21d_11,-1.186955097374461
flower_11,1.0175118339553564
silique_7,-0.8483904224191999
stim_dim_5,0.8354442979885496
silique_16,-0.7892444329881062
flower_9,-0.7732267309966121
stim_dim_29,0.7451359486888809
silique_12,0.7146131886568043
seed_3d_13,-0.7090839937146038
silique_13,-0.6824813313121119
silique_9,-0.6095017601558333
stem_8,-0.5859290629014522
seedling_15d_15,0.5170996462862721
seedling_15d_18,-0.5126262185512573
silique_26,0.5073107248161904
seedling_15d_14,-0.44745684582013695
silique_25,0.4433360046299012
stim_dim_12,-0.43145052782271376
seed_425d_7,0.35152533426553406
stim_dim_23,0.34158498329113074
silique_15,0.3342193924152529
silique_22,-0.3079998948746112
silique_21,0.25498498606389963
silique_14,0.23039105567205895
silique_19,0.22134928263138573
stim_dim_3,0.17323112769175542
stem_4,-0.1463921753028469
silique_5,-0.1454416693292982
stim_dim_18,0.12259479113695419
seedling_15d_17,0.10949836881416276
silique_18,0.08004831995273877
rosette_30d_16,0.052372371580195906
seed_425d_14,-0.047500431932499206
rosette_21d_6,0.034869220209762505
stim_dim_17,-0.02022144254406742
stim_dim_0,0.020206504094553903
stim_dim_9,-0.01441978431639147
rosette_30d_14,0.0
rosette_30d_3,0.0
rosette_30d_2,0.0
rosette_30d_5,0.0
rosette_30d_6,0.0
rosette_30d_7,0.0
rosette_30d_4,0.0
rosette_30d_8,0.0
rosette_30d_9,0.0
seed_3d_1,0.0
seed_3d_0,0.0
seed_3d_10,0.0
seed_3d_11,0.0
rosette_21d_8,0.0
rosette_21d_9,0.0
rosette_21d_17,0.0
rosette_21d_16,0.0
rosette_21d_15,0.0
rosette_21d_14,0.0
rosette_21d_13,0.0
rosette_21d_7,0.0
rosette_21d_5,0.0
rosette_21d_2,0.0
rosette_30d_0,0.0
rosette_30d_1,0.0
rosette_30d_10,0.0
rosette_30d_11,0.0
rosette_30d_12,0.0
rosette_30d_13,0.0
rosette_21d_4,0.0
rosette_21d_3,0.0
rosette_30d_15,0.0
flower_3,0.0
flower_6,0.0
flower_2,0.0
flower_7,0.0
flower_8,0.0
rosette_21d_0,0.0
flower_5,0.0
rosette_21d_1,0.0
rosette_21d_10,0.0
rosette_21d_12,0.0
flower_4,0.0
flower_10,0.0
flower_12,0.0
flower_1,0.0
flower_0,0.0
seedling_15d_11,0.0
seedling_15d_10,0.0
seedling_15d_1,0.0
seedling_15d_0,0.0
seed_425d_9,0.0
seed_425d_8,0.0
seed_425d_6,0.0
seed_425d_5,0.0
seed_425d_16,0.0
seed_425d_4,0.0
seed_425d_3,0.0
seed_425d_2,0.0
seed_425d_13,0.0
seed_425d_15,0.0
seed_425d_11,0.0
seed_425d_12,0.0
seed_3d_6,0.0
seed_3d_5,0.0
seed_425d_10,0.0
seed_425d_1,0.0
seed_425d_0,0.0
seed_3d_9,0.0
seed_3d_8,0.0
seed_3d_7,0.0
seed_3d_2,0.0
seed_3d_17,0.0
seed_3d_4,0.0
seed_3d_3,0.0
seed_3d_16,0.0
seed_3d_15,0.0
seed_3d_12,0.0
seed_3d_14,0.0
seedling_6d_8,0.0
seedling_6d_7,0.0
seedling_6d_6,0.0
seedling_6d_5,0.0
seedling_6d_4,0.0
seedling_6d_3,0.0
seedling_6d_2,0.0
seedling_6d_9,0.0
seedling_9d_14,0.0
seedling_9d_15,0.0
seedling_9d_1,0.0
seedling_15d_3,0.0
seedling_15d_12,0.0
seedling_15d_13,0.0
seedling_15d_16,0.0
seedling_15d_2,0.0
seedling_6d_1,0.0
seedling_6d_10,0.0
seedling_6d_11,0.0
seedling_6d_12,0.0
seedling_6d_13,0.0
seedling_6d_14,0.0
seedling_6d_15,0.0
seedling_6d_16,0.0
seedling_6d_17,0.0
seedling_15d_4,0.0
seedling_15d_5,0.0
seedling_15d_6,0.0
seedling_15d_7,0.0
seedling_15d_8,0.0
seedling_15d_9,0.0
seedling_6d_0,0.0
silique_17,0.0
silique_11,0.0
seedling_9d_7,0.0
seedling_9d_8,0.0
seedling_9d_9,0.0
silique_0,0.0
silique_1,0.0
silique_10,0.0
seedling_9d_6,0.0
seedling_9d_5,0.0
seedling_9d_16,0.0
seedling_9d_17,0.0
seedling_9d_19,0.0
seedling_9d_2,0.0
seedling_9d_3,0.0
seedling_9d_4,0.0
seedling_9d_10,0.0
seedling_9d_13,0.0
seedling_9d_12,0.0
seedling_9d_11,0.0
seedling_9d_0,0.0
stem_12,0.0
stem_10,0.0
stem_1,0.0
silique_8,0.0
silique_6,0.0
silique_3,0.0
stem_0,0.0
silique_4,0.0
silique_24,0.0
silique_2,0.0
silique_23,0.0
stem_6,0.0
stem_7,0.0
stem_3,0.0
stem_5,0.0
stem_2,0.0
stem_13,0.0
stem_14,0.0
stem_15,0.0
stem_11,0.0
stim_dim_6,0.0
stim_dim_10,0.0
stim_dim_8,0.0
stim_dim_7,0.0
stim_dim_4,0.0
stim_dim_2,0.0
stim_dim_1,0.0
stim_dim_15,0.0
stim_dim_14,0.0
stim_dim_13,0.0
stim_dim_11,0.0
stim_dim_19,0.0
stim_dim_20,0.0
stim_dim_21,0.0
stim_dim_16,0.0
stim_dim_22,0.0
stim_dim_24,0.0
stim_dim_26,0.0
stim_dim_25,0.0
stim_dim_27,0.0
stim_dim_28,0.0
stim_dim_30,0.0
stim_dim_31,0.0
